iso,name,lon,lat,size_pop,pop_basis,source
MEX,Reynosa,-98.30003,26.08,641000,urban_agglomeration,Demographia 2025
USA,Colorado Springs,-104.79199,38.86296,641000,urban_agglomeration,Demographia 2025
MEX,Tuxtla Gutiérrez,-93.15001,16.75,639000,urban_agglomeration,Demographia 2025
USA,Allentown,-75.50003,40.59999,636000,urban_agglomeration,Demographia 2025
CAN,Kitchener,-80.50001,43.45,634000,urban_agglomeration,Demographia 2025
USA,Baton Rouge,-91.14016,30.45795,630000,urban_agglomeration,Demographia 2025
USA,Knoxville,-83.92003,35.97001,627000,urban_agglomeration,Demographia 2025
MEX,Coyoacan,-99.16174,19.3467,614447,city_limits,Mexico 2020 census (GeoNames)
USA,Grand Rapids,-85.66995,42.96372,614000,urban_agglomeration,Demographia 2025
USA,Columbia,-81.03126,33.99686,611000,urban_agglomeration,Demographia 2025
USA,Albany,-73.75755,42.65374,606000,urban_agglomeration,Demographia 2025
USA,Greenville,-82.39415,34.85292,604000,urban_agglomeration,Demographia 2025
USA,Bakersfield,-119.01998,35.36997,582000,urban_agglomeration,Demographia 2025
MEX,Tlalpan,-99.16206,19.29513,574577,city_limits,Mexico 2020 census (GeoNames)
MEX,Durango,-104.67003,24.0311,571000,urban_agglomeration,Demographia 2025
CAN,Hamilton,-79.84963,43.25011,569353,city_limits,Canada 2021 census (GeoNames)
CAN,Surrey,-122.82509,49.10635,568322,city_limits,Canada 2021 census (GeoNames)
USA,Baltimore,-76.61458,39.28152,568271,city_limits,US Census 2024
USA,Des Moines,-93.61998,41.57998,567000,urban_agglomeration,Demographia 2025
MEX,Xalapa,-96.91999,19.52998,561000,urban_agglomeration,Demographia 2025
MEX,Cuautitlan Izcalli,-99.21598,19.64388,555163,city_limits,Mexico 2020 census (GeoNames)
MEX,Matamoros,-97.5,25.87998,552000,urban_agglomeration,Demographia 2025
MEX,Villahermosa,-92.89997,17.99997,523000,urban_agglomeration,Demographia 2025
USA,Mesa,-111.82097,33.4148,517151,city_limits,US Census 2024
USA,Greensboro,-79.80002,36.07001,516000,urban_agglomeration,Demographia 2025
USA,Harrisburg,-76.88475,40.2736,503000,urban_agglomeration,Demographia 2025
USA,Wichita,-97.32766,37.67634,502000,urban_agglomeration,Demographia 2025
USA,Toledo,-83.55298,41.63979,501000,urban_agglomeration,Demographia 2025
MEX,Ciudad Lopez Mateos,-99.25675,19.55793,489160,minor,GeoNames
USA,Long Beach,-118.18923,33.76696,474140,minor,GeoNames
CAN,Halifax,-63.57688,44.64269,471559,minor,GeoNames
MEX,Ciudad Apodaca,-100.18911,25.78143,467157,minor,GeoNames
MEX,Ciudad General Escobedo,-100.31767,25.79663,454967,minor,GeoNames
MEX,Ensenada,-116.60071,31.87149,443807,minor,GeoNames
MEX,Xochimilco,-99.10356,19.25465,442178,minor,GeoNames
CAN,Laval,-73.692,45.56995,438366,minor,GeoNames
CAN,London,-81.23304,42.98339,422324,minor,GeoNames
USA,Oakland,-122.2708,37.80437,419267,minor,GeoNames
MEX,Nuevo Laredo,-99.51639,27.47629,416055,minor,GeoNames
MEX,Azcapotzalco,-99.18594,19.48698,414711,minor,GeoNames
MEX,San Nicolas de los Garza,-100.30222,25.74167,412199,minor,GeoNames
MEX,Tonala,-103.24168,20.62263,408759,minor,GeoNames
USA,Arlington,-97.10807,32.73569,388125,minor,GeoNames
MEX,Ojo de Agua,-99.01,19.68028,386290,minor,GeoNames
MEX,Xico,-98.95088,19.27032,384327,minor,GeoNames
MEX,Iztacalco,-99.09778,19.39528,384326,minor,GeoNames
